año,alcaldia,colonia,bimestre,indice_des,CPDomestico,CTDomestico,CPNODomestico,CTNODomestico,CPMixto,CTMixto,consumo_total,consumo_prom
2019,AZCAPOTZALCO,LA RAZA,3,BAJO,35.56,604.55,29.07,29.07,13.42,13.42,647.04,34.05
2019,AZCAPOTZALCO,LA RAZA,3,BAJO,41.28,536.66,20.74,20.74,77.61,388.04,945.44,49.76
2019,AZCAPOTZALCO,PATRIMONIO FAMILIAR,3,BAJO,31.3,626.06,20.13,40.26,17.19,51.58,717.9,28.72
2019,AZCAPOTZALCO,PATRIMONIO FAMILIAR,3,BAJO,30.04,600.72,59.78,59.78,0.0,0.0,660.5,31.45
2019,AZCAPOTZALCO,LA RAZA,3,BAJO,43.66,916.93,14.64,14.64,84.69,423.44,1355.01,50.19
2019,AZCAPOTZALCO,ARENAL,3,POPULAR,58.93,1060.68,92.72,92.72,108.3,108.3,1261.7,63.08
2019,AZCAPOTZALCO,ARENAL,3,ALTO,43.93,439.29,11.13,33.39,0.0,0.0,472.68,36.36
2019,AZCAPOTZALCO,ARENAL,3,BAJO,33.06,694.34,2.8,2.8,129.01,258.03,955.17,39.8
2019,AZCAPOTZALCO,ALDANA,3,BAJO,48.41,774.6,58.7,117.41,84.56,169.12,1061.13,53.06
2019,AZCAPOTZALCO,PATRIMONIO FAMILIAR,3,BAJO,42.51,382.56,14.64,14.64,104.82,209.64,606.84,50.57
2019,AZCAPOTZALCO,ARENAL,3,BAJO,46.97,1409.07,0.0,0.0,26.84,53.69,1462.76,44.33
2019,AZCAPOTZALCO,ARENAL,3,BAJO,25.64,128.2,11.0,55.01,0.0,0.0,183.21,18.32
2019,AZCAPOTZALCO,DEL GAS,3,BAJO,14.01,14869.53,112.64,1239.04,21.8,43.6,16152.17,15.04
2019,AZCAPOTZALCO,AMPL. COSMOPOLITA,3,BAJO,58.49,292.46,7.54,7.54,16.8,16.8,316.8,45.26
2019,AZCAPOTZALCO,COSMOPOLITA,3,BAJO,60.87,669.56,7.12,21.36,44.78,223.91,914.83,48.15
2019,AZCAPOTZALCO,POTRERO DEL LLANO,3,BAJO,29.91,209.38,167.5,335.0,81.13,81.13,625.51,62.55
2019,AZCAPOTZALCO,COSMOPOLITA,3,BAJO,36.84,626.31,0.0,0.0,46.03,92.06,718.37,35.92
2019,AZCAPOTZALCO,EUZKADI,3,BAJO,38.01,494.11,0.0,0.0,0.0,0.0,494.11,35.29
2019,AZCAPOTZALCO,EUZKADI,3,BAJO,38.72,813.17,0.79,1.58,53.44,587.87,1402.62,41.25
2019,AZCAPOTZALCO,EUZKADI,3,BAJO,53.96,1456.91,12.81,12.81,66.14,198.43,1668.15,53.81
2019,AZCAPOTZALCO,ARENAL,3,BAJO,54.29,542.89,8.02,16.05,0.0,0.0,558.94,46.58
2019,AZCAPOTZALCO,EUZKADI,3,BAJO,68.48,1369.69,200.08,200.08,41.17,247.0,1816.77,67.29
2019,AZCAPOTZALCO,AMPL. DEL GAS,3,POPULAR,20.05,22972.63,38.17,458.09,0.0,0.0,23430.72,20.23
2019,AZCAPOTZALCO,PUEBLO SAN ANDRES DE LAS SALINAS,3,POPULAR,56.74,56.74,25.25,176.74,126.47,379.41,612.89,55.72
2019,AZCAPOTZALCO,LA PRECIOSA,3,BAJO,33.7,134.81,11.34,113.45,44.25,177.0,425.26,23.63
2019,AZCAPOTZALCO,LAS SALINAS,3,BAJO,81.92,163.83,52.51,157.52,167.78,335.56,656.91,93.84
2019,AZCAPOTZALCO,LIBERACION,3,BAJO,41.83,460.11,15.25,15.25,61.14,183.43,658.79,43.92
2019,AZCAPOTZALCO,PUEBLO SAN ANDRES DE LAS SALINAS,3,BAJO,52.93,952.71,83.86,587.03,48.6,97.2,1636.94,60.63
2019,AZCAPOTZALCO,FERRERIA,3,BAJO,59.68,1670.94,9.76,9.76,63.94,575.47,2256.17,59.37
2019,AZCAPOTZALCO,INDUSTRIAL VALLEJO,3,POPULAR,56.72,453.8,69.36,1040.39,83.31,416.53,1910.72,68.24
2019,AZCAPOTZALCO,PUEBLO SAN FRANCISCO XOCOTITLA,3,BAJO,44.84,89.67,159.97,2879.42,37.2,37.2,3006.29,143.16
2019,AZCAPOTZALCO,LAS SALINAS,3,BAJO,26.32,157.93,10.13,50.67,0.0,0.0,208.6,18.96
2019,AZCAPOTZALCO,BARRIO COLTONGO,3,BAJO,31.24,1374.61,71.6,930.81,0.0,0.0,2305.42,40.45
